1,2,3,4,5,6,USBN,UNBK
89.25,93.38,89.75,91.75,91.28,91.75,94.25,92
86.25,84.08,84.04,89.17,91.14,89.17,94.25,92
90,92.13,83,87.48,92,87.48,95.5,96
91.25,91.58,87.27,87.06,91.61,87.06,96.5,90
89,91.04,84.79,87.25,91.92,87.25,95,90
83.75,92.38,85.78,87.08,90.11,87.08,92.75,88
82,83,85.5,86.42,91.38,86.42,96.5,84
85.5,84.56,85.38,87.29,91,87.29,93.5,88
88,89.88,83,88.83,92.17,88.83,94.5,86
90.5,83,92.17,83,91.39,83,94.75,88
87,84.47,86.19,85.83,91.33,85.83,93.5,86
84,83.94,84.67,84.15,91.5,84.15,94.25,78
90.5,87.88,91,91.21,93.22,91.21,94,90
87.5,92.88,93.19,94.25,92.11,94.25,92.75,92
94,95.28,88.88,86.63,92.72,86.63,94.5,94
91.25,92.88,91.63,91.54,91.78,91.54,95.75,88
84.25,81.96,87.56,88.35,90.22,88.35,90.5,94
86.5,88.67,86.63,87.67,92.78,87.67,93.5,92
84.75,85.25,84.17,86.96,89.92,86.96,94.25,90
92,91.79,82.79,88.92,90.11,88.92,93.75,96
87,89.17,85.94,87.71,92,87.71,91,92
90,90.79,88.29,85.54,91.11,85.54,91.25,94
92.5,88.88,87.88,88.67,92.83,88.67,94.5,94
87.25,90.64,87.38,87.71,91.58,87.71,93.5,96
90.25,87.13,91.44,92.17,92.67,92.17,93.75,94
86.75,87.19,91.52,90.9,93.83,90.9,91,98
85.25,92.13,88.56,90.08,93.42,90.08,91.75,94
87.5,93.13,87.88,90.04,93.58,90.04,95.25,96
88.75,94.19,85.63,91.79,92.11,91.79,92.75,94
83.25,85.81,86.94,90.75,91.83,90.75,93.25,90
85.75,88.69,87.29,84.88,92.17,84.88,91.75,86
86.75,86.13,90.25,90.63,91.5,90.63,94,98
90.25,91.21,87.33,92.38,90.58,92.38,92,92
86.5,88.63,83,85.25,90.69,85.25,92.75,94
89,89.9,82.38,86.2,93.22,86.2,92.25,90
90.75,93.5,82.33,86.5,90.22,86.5,93,94
90.75,88.25,90.67,82.7,82.7,82.7,93.5,86
84,84.21,89.54,87.08,88.67,87.08,94.25,94
90.75,91.7,87.33,89.17,87.08,89.17,91,84
88,88.25,88,87.46,96,87.46,91.5,96
82,84,83.5,86.5,91.56,86.5,90.5,84
90,92.25,92.25,91.17,90.22,91.17,93.25,92
87.75,87.75,86.8,86.8,86.8,86.8,93.75,92
88,88.25,88,87.46,96,87.46,92.75,94
92,84,83.5,86.5,91.56,86.5,93.5,92
90.75,92.25,92.25,91.17,90.22,91.17,93.75,96
87.75,87.75,86.8,86.8,96,86.8,93.25,92
82,88.8,83.5,86.5,91.56,86.5,94,86
90,92.25,92.25,91.17,90.22,91.17,92.75,80
87.75,87.75,86.8,86.8,86.8,86.8,96,90
90.75,93.5,82.33,86.5,90.22,86.5,94.75,90
90.75,88.25,90.67,82.7,82.7,82.7,92.25,86
84,84.21,89.54,87.08,88.67,87.08,93.5,88
90.75,91.7,87.33,89.17,87.08,89.17,95.25,90
88,88.25,88,87.46,96,87.46,92.25,92
82,84,83.5,86.5,91.56,86.5,93.75,90
90,92.25,92.25,91.17,90.22,91.17,95.25,94
87.75,87.75,86.8,86.8,86.8,86.8,95.25,88
90.75,93.5,82.33,86.5,90.22,86.5,93.75,90
90.75,88.25,90.67,82.7,82.7,82.7,93.5,90
84,84.21,89.54,87.08,88.67,87.08,95.5,94
84,88.25,88.25,88,86.8,88,95.25,94
90,84,84,83.5,86.5,83.5,93.5,88
91,90.75,87.25,88.69,92.67,88.69,91,96
84,84.21,89.54,87.08,88.67,87.08,91.25,90
88.25,88.25,88.25,88,86.8,88,92,90
84,84,84,83.5,86.5,83.5,93,92
86.25,85,87.25,84,90.83,84,94.5,92
87,86.88,88.25,88,86.8,88,95,94
90,92.25,92.25,91.17,90.22,91.17,93,78
86,87.38,86.94,86.19,92.61,86.19,94,88
88,87.56,88.06,89.88,91.36,89.88,93.25,92
93.25,94.21,86.44,88.63,92.56,88.63,93.5,86
89,87.33,91.44,89.58,94.67,89.58,94.5,98
91.5,86.42,90.13,90.48,93.94,90.48,94.5,86
95.25,96.17,91.19,92.5,94.06,92.5,93.25,98
89.75,87,89.63,91.94,91.61,91.94,96,86
94.25,95.63,90.67,90.67,91.89,90.67,96.25,100
90.5,85.79,90,92.13,92.36,92.13,95.25,84
86.75,90.04,80.92,90.65,94.67,90.65,94.5,94
94,91.31,87.38,91.25,91.61,91.25,96.25,88
94.75,92.38,88.5,89.21,93.58,89.21,96,94
92.5,86.25,90,92.21,92.67,92.21,93.75,84
93.75,97.25,85.94,92.46,96.25,92.46,97,84
87,88.67,86.31,88.23,91.56,88.23,93,82
91.75,92.58,84.94,88.67,90.81,88.67,94.5,86
91.5,91.67,89.69,92.13,93.56,92.13,96.5,90
85.5,86.54,86.13,87.35,91.28,87.35,95,92
91.5,89.63,90,91.08,91.83,91.08,96.75,82
86.5,84.25,86.38,86.81,94.66,86.81,95.25,96
87,86.17,88.63,90.44,94.39,90.44,97,88
89.5,94.13,88.31,87.17,94.39,87.17,96.25,92
90.25,83.96,88.81,89.83,94.78,89.83,94.5,86
87.5,82.92,85.06,89.9,91.28,89.9,96,94
87.75,83.75,84.38,87.58,93.33,87.58,93.5,86
88.75,90.63,83,88.33,92.22,88.33,93,94
86.25,90,86.63,90.67,92.72,90.67,95.25,88
91,90.96,85.92,87.67,91.67,87.67,96,94
92.75,94.29,86.06,87.13,92.17,87.13,96.75,86
86.25,83.96,89.56,91.42,92.28,91.42,95.25,96
92.5,86.88,90.63,91.77,94.56,91.77,95.5,94
86.25,86.71,91.5,93.04,94.19,93.04,94.25,92
86.5,84.83,89.06,90.35,92.03,90.35,95.25,92
90.25,84.54,90.88,89.71,94.81,89.71,93.75,88
90.75,88.83,91.56,91.81,94.5,91.81,95.5,92
88,89.46,86.88,90.17,94.47,90.17,94.25,90
88.25,86.54,87.44,90.23,92.42,90.23,94.75,90
90,88.75,89.44,91.88,93.17,91.88,96.5,94
88.625,85.4,83.45,83.6,90,89,94.2,78
83.625,84.55,82,83.71666667,91,89,92.4,70
83.875,85.05,84.55,86.9,90,90,93.6,84
86.1875,84.95,82.93333333,84.09166667,89,89,94.8,78
85.375,85.65,85.475,85.88333333,90,90,91.2,88
89.16666667,91.8,84.45,86.35,92,95,96.6,94
